AAA	OnAir Switzerland Sarl	ONAIR	OnAir1	OnAir	1800 (GSM)	901	15		8988298	2014-12-02
ESP	France Telecom Espa?a S.A.U.	Orange	Orange	Orange	900 (GSM)	214	03	2	893401	2012-07-05
ESP	France Telecom Espa?a S.A.U.	Orange	Orange	Orange	1800 (GSM)	214	03	2	893401	2012-07-05
ESP	Telefonica Moviles Espana S.A.	Movistar	Movistar	Movistar	1800 (GSM)	214	07		893407	2012-07-05
ESP	Telefonica Moviles Espana S.A.	Movistar	Movistar	Movistar	900 (GSM)	214	07		893407	2012-07-05
ESP	Telefonica Moviles Espana S.A.	Movistar	Movistar	Movistar	2100 (3G)	214	07		893407	2012-07-05
ESP	"Vodafone Espa?a, S.A.U."	vodafone	vodafone	voda ES	1800 (GSM)	214	01	5	893456	2014-12-16
ESP	"Vodafone Espa?a, S.A.U."	vodafone	vodafone	voda ES	2100 (3G)	214	01		893456	2014-12-16
ESP	"Vodafone Espa?a, S.A.U."	vodafone	vodafone	voda ES	900 (GSM)	214	01	5	893456	2014-12-16
ESP	"Xfera M?viles, S.A."	YOIGO	YOIGO	YOIGO	2100 (3G)	214	04		893404	2014-12-03
ESP	"Xfera M?viles, S.A."	YOIGO	YOIGO	YOIGO	1800 (GSM)	214	04		893404	2014-12-03
EST	AS Eesti Telekom	EMT	EMT	EMT	1800 (GSM)	248	01	3	8937201	2014-10-03
EST	AS Eesti Telekom	EMT	EMT	EMT	900 (GSM)	248	01	3	8937201	2014-10-03
EST	AS Eesti Telekom	EMT	EMT	EMT	2100 (3G)	248	01		8937201	2014-10-03
EST	AS Eesti Telekom	EMT	EMT	EMT	2600 (LTE)	248	01		8937201	2014-10-03
EST	Elisa Eesti AS	Elisa Eesti	EE Elisa	Elisa	2100 (3G)	248	02		8937202	2014-09-16
EST	Elisa Eesti AS	Elisa Eesti	EE Elisa	Elisa	900 (GSM)	248	02	1	8937202	2014-09-16
EST	Elisa Eesti AS	Elisa Eesti	EE Elisa	Elisa	1800 (GSM)	248	02	1	8937202	2014-09-16
EST	Tele2 Eesti AS	Tele2	Tele2 EE	Tele2 EE	900 (GSM)	248	03	7	8937203	2010-03-30
EST	Tele2 Eesti AS	Tele2	Tele2 EE	Tele2 EE	1800 (GSM)	248	03	7	8937203	2010-03-30
ETH	Ethio Telecom	ETH MTN	ETH MTN	ET-MTN	900 (GSM)	636	01	1	8925101	2014-12-03
FIN	DNA Ltd	DNA Ltd	DNA	DNA	1800 (GSM)	244	12	"0,4"	8935806	2014-12-03
FIN	DNA Ltd	DNA Ltd	DNA	DNA	900 (3G)	244	03		8935806	2014-12-03
FIN	DNA Ltd	DNA Ltd	DNA	DNA	900 (GSM)	244	03	"0,4"	8935806	2014-12-03
FIN	DNA Ltd	DNA Ltd	DNA	DNA	900 (3G)	244	12		8935806	2014-12-03
FIN	DNA Ltd	DNA Ltd	DNA	DNA	900 (GSM)	244	12	"0,4"	8935806	2014-12-03
FIN	DNA Ltd	DNA Ltd	DNA	DNA	2100 (3G)	244	03		8935806	2014-12-03
FIN	DNA Ltd	DNA Ltd	DNA	DNA	2100 (3G)	244	12		8935806	2014-12-03
FIN	DNA Ltd	DNA Ltd	DNA	DNA	1800 (GSM)	244	03	"0,4"	8935806	2014-12-03
FIN	DNA Ltd	DNA Ltd	DNA	DNA	900 (3G)	244	03		8935804	2014-12-03
FIN	DNA Ltd	DNA Ltd	DNA	DNA	900 (3G)	244	03		8935804	2014-12-03
FIN	DNA Ltd	DNA Ltd	DNA	DNA	900 (GSM)	244	12	"0,4"	8935804	2014-12-03
FIN	DNA Ltd	DNA Ltd	DNA	DNA	1800 (GSM)	244	03	"0,4"	8935804	2014-12-03
FIN	DNA Ltd	DNA Ltd	DNA	DNA	900 (GSM)	244	03	"0,4"	8935804	2014-12-03
FIN	DNA Ltd	DNA Ltd	DNA	DNA	1800 (GSM)	244	12	"0,4"	8935804	2014-12-03
FIN	DNA Ltd	DNA Ltd	DNA	DNA	900 (3G)	244	12		8935804	2014-12-03
FIN	DNA Ltd	DNA Ltd	DNA	DNA	900 (3G)	244	12		8935804	2014-12-03
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	1800 (LTE)	244	05		8935802	2014-04-17
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	2100 (LTE)	244	05		8935802	2014-04-17
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	2100 (3G)	244	05		8935802	2014-04-17
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	900 (3G)	244	05		8935809	2014-04-17
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	1800 (GSM)	244	05	4	8935802	2014-04-17
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	1800 (GSM)	244	05	4	8935809	2014-04-17
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	1800 (LTE)	244	05		8935809	2014-04-17
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	2100 (LTE)	244	05		8935809	2014-04-17
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	900 (GSM)	244	05	4	8935809	2014-04-17
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	900 (3G)	244	05		8935802	2014-04-17
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	2100 (3G)	244	05		8935809	2014-04-17
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	900 (GSM)	244	05	4	8935802	2014-04-17
FIN	TeliaSonera Finland Oyj	SONERA	FI SONERA	SONERA	2100 (3G)	244	91		8935801	2014-12-03
FIN	TeliaSonera Finland Oyj	SONERA	FI SONERA	SONERA	1800 (GSM)	244	91	0	8935801	2014-12-03
FIN	TeliaSonera Finland Oyj	SONERA	FI SONERA	SONERA	900 (GSM)	244	91	0	8935801	2014-12-03
FIN	?lands Telekommunikation Ab	Alands Telekommunikation Ab	FI AMT	FI AMT	2100 (3G)	244	14		8935807	2014-08-15
FIN	?lands Telekommunikation Ab	Alands Telekommunikation Ab	FI AMT	FI AMT	900 (GSM)	244	14	"0,4"	8935807	2014-08-15
FJI	Digicel (Fiji) Limited	Digicel (Fiji) Limited	DIGICEL	DIGICEL	900 (GSM)	542	02	"0,2"	8967902	2012-07-05
FJI	Digicel (Fiji) Limited	Digicel (Fiji) Limited	DIGICEL	DIGICEL	900 (3G)	542	02		8967902	2012-07-05
FJI	Vodafone Fiji Limited	VODAFONE	FJ VODAFONE	VODAFONE	2100 (3G)	542	01		8967901	2014-12-03
FJI	Vodafone Fiji Limited	VODAFONE	FJ VODAFONE	VODAFONE	900 (GSM)	542	01	2	8967901	2014-12-03
FLK	Sure South Atlantic Limited	Sure South Atlantic Limited	Sure FLK	Sure	900 (GSM)	750	001		8950001	2014-06-13
FLK	Sure South Atlantic Limited	Sure South Atlantic Limited	Sure FLK	Sure	1800 (GSM)	750	001		8950001	2014-06-13
FRA	Bouygues Telecom	Bouygues Telecom	F-Bouygues Telecom	BYTEL	900 (GSM)	208	20	4	893320	2012-09-19
FRA	Bouygues Telecom	Bouygues Telecom	F-Bouygues Telecom	BYTEL	1800 (GSM)	208	20	4	893320	2012-09-19
FRA	Bouygues Telecom	Bouygues Telecom	F-Bouygues Telecom	BYTEL	2100 (3G)	208	20		893320	2012-09-19
FRA	Bouygues Telecom	Bouygues Telecom (Contact)	F - Contact	Contact	1800 (GSM)	208	88	"4,7"	893320	2012-09-19
FRA	Bouygues Telecom	Bouygues Telecom (Contact)	F - Contact	Contact	900 (GSM)	208	88	"4,7"	893320	2012-09-19
FRA	Free Mobile	Free Mobile	Free	Free	2100 (3G)	208	15		893315	2011-03-03
FRA	Free Mobile	Free Mobile	Free	Free	900 (3G)	208	15		893315	2011-03-03
FRA	Orange Caraibe	Orange	F-Orange	Orange	900 (GSM)	340	01		8959001	2004-04-14
FRA	Orange France	Orange France	Orange F	Orange	2100 (3G)	208	01		893301	2012-03-09
FRA	Orange France	Orange France	F-Contact	Contact	1800 (GSM)	208	02	0	893301	2013-02-11
FRA	Orange France	Orange France	F-Contact	Contact	900 (GSM)	208	02	0	893301	2013-02-11
FRA	Orange France	Orange France	Orange F	Orange	900 (3G)	208	01		893301	2012-03-09
FRA	Soci?t? Fran?aise du Radiot?l?phone S.A.	SFR	F SFR	SFR	2600 (LTE)	208	10		893310	2014-12-03
FRA	Soci?t? Fran?aise du Radiot?l?phone S.A.	SFR	F SFR	SFR	1800 (GSM)	208	09		893310	2014-12-03
FRA	Soci?t? Fran?aise du Radiot?l?phone S.A.	SFR	F SFR	SFR	900 (GSM)	208	10		893310	2014-12-03
FRA	Soci?t? Fran?aise du Radiot?l?phone S.A.	SFR	F SFR	SFR	1800 (GSM)	208	10		893310	2014-12-03
FRA	Soci?t? Fran?aise du Radiot?l?phone S.A.	SFR	F SFR	SFR	900 (3G )	208	10		893310	2014-12-03
FRA	Soci?t? Fran?aise du Radiot?l?phone S.A.	SFR	F SFR	SFR	800 (LTE)	208	10		893310	2014-12-03
FRA	Soci?t? Fran?aise du Radiot?l?phone S.A.	SFR	F SFR	SFR	2100 (3G )	208	10		893310	2014-12-03
FRA	Soci?t? Fran?aise du Radiot?l?phone S.A.	SFR	F SFR	SFR	900 (3G )	208	09		893310	2014-12-03
FRA	Soci?t? Fran?aise du Radiot?l?phone S.A.	SFR	F SFR	SFR	900 (GSM)	208	09		893310	2014-12-03
FRA	Soci?t? Fran?aise du Radiot?l?phone S.A.	SFR	F SFR	SFR	2100 (3G )	208	09		893310	2014-12-03
FRA	Soci?t? Fran?aise du Radiot?l?phone S.A.	SFR (Contact)	F - Contact	Contact	1800 (GSM)	208	13		893310	2014-12-03
FRA	Soci?t? Fran?aise du Radiot?l?phone S.A.	SFR (Contact)	F - Contact	Contact	900 (GSM)	208	13		893310	2014-12-03
FRA	Soci?t? Fran?aise du Radiot?l?phone S.A.	SFR (FEMTO)	SFR FEMTO	SFRFEMTO	2100 (3G)	208	11		893310	2014-12-03
FRO	Faroese Telecom	Faroese Telecom	Foroya Tele	FT-GSM	900 (3G)	288	01		8929801	2012-09-13
FRO	Faroese Telecom	Faroese Telecom	Foroya Tele	FT-GSM	2100 (3G)	288	01		8929801	2012-09-13
FRO	Faroese Telecom	Faroese Telecom	Foroya Tele	FT-GSM	900 (GSM)	288	01	0	8929801	2012-09-13
FRO	P/F Kall	VODAFONE FO	VODAFONE FO	VODAFONE	2100 (3G)	288	02		8929829	2014-12-03
FRO	P/F Kall	VODAFONE FO	VODAFONE FO	VODAFONE	2100 (3G)	288	02		8929802	2014-12-03
FRO	P/F Kall	VODAFONE FO	VODAFONE FO	VODAFONE	900 (GSM)	288	02		8929802	2014-12-03
FRO	P/F Kall	VODAFONE FO	VODAFONE FO	VODAFONE	900 (GSM)	288	02		8929829	2014-12-03
FSM	FSM Telecommunications Corporation	FSM Telecommunications Corporation	FSM Telecom	FSMTC	900 (GSM)	550	01	"0,1"	8969101	2012-07-05
GAB	Atlantique Telecom Gabon S.A.	ETISALAT GABON	ETISALAT GAB	ETISALAT	900 (GSM)	628	02	"0,4"	8924101	2012-01-16
GAB	Celtel Gabon S.A.	Airtel	Airtel	Airtel	900 (GSM)	628	03	2	8924103	2014-09-16
GAB	Libertis S.A.	LIBERTIS	LIBERTIS	LIBERTIS	900 (GSM)	628	01	"0,3"	8924101	2012-08-09
GBR	AeroMobile AS	AeroMobile	AeroMobile	AeroMob	1800 (GSM)	901	14		8988299	2013-03-13
GBR	Everything Everywhere Limited	Orange	EE	EE	1800 (GSM)	234	33	5	894412	2012-11-21
GBR	Everything Everywhere Limited	Orange	EE	EE	2100 (3G)	234	33		894412	2012-12-17
GBR	Everything Everywhere Limited	T-Mobile	EE	EE	1800 (GSM)	234	30	2	894430	2012-11-21
GBR	Everything Everywhere Limited	T-Mobile	EE	EE	1800 (GSM)	234	32	2	894430	2012-11-21
GBR	Everything Everywhere Limited	T-Mobile	EE	EE	1800 (GSM)	234	31	2	894430	2012-11-21
GBR	Everything Everywhere Limited	T-Mobile	EE	EE	2100 (3G)	234	32		894430	2012-12-17
GBR	Everything Everywhere Limited	T-Mobile	EE	EE	2100 (3G)	234	31		894430	2012-12-17
GBR	Everything Everywhere Limited	T-Mobile	EE	EE	2100 (3G)	234	30		894430	2012-12-17
GBR	Hutchison 3G UK Ltd	3	3 UK	3 UK	2100 (3G)	234	20		894420	2004-04-16
GBR	Inmarsat Ventures Plc	Inmarsat	Inmarsat	INX	Satellite (GSM)	901	11		8987099	2013-03-12
GBR	JT (Guernsey) Limited	JT	JT	JT	2100 (3G)	234	50		894450	2012-09-14
GBR	JT (Guernsey) Limited	JT	JT	JT	1800 (GSM)	234	50		894450	2012-09-14
GBR	JT (Jersey) Ltd	JT	JT	JT	1800 (GSM)	234	50		894450	2012-09-17
GBR	JT (Jersey) Ltd	JT	JT	JT	2100 (3G)	234	50		894450	2012-09-14
GBR	JT (Jersey) Ltd	JT	JT	JT	900 (GSM)	234	50		894450	2012-09-17
GBR	Manx Telecom	Manx Telecom	Manx Telecom	MANX	900 (GSM)	234	58	1	894453	2014-05-08
GBR	Manx Telecom	Manx Telecom	Manx Telecom	MANX	2100 (3G)	234	58		894453	2014-05-08
GBR	Marathon Telecom Limited	Marathon Telecom Limited	Marathon	Marathon	1900 (3G)	234	28		894403	2010-12-09
GBR	Marathon Telecom Limited	Marathon Telecom Limited	Marathon	Marathon	2100 (3G)	234	28		894403	2010-12-09
GBR	Sure (Guernsey) Limited	Sure (Guernsey) Limited	Sure	Sure	2100 (3G)	234	55		894455	2013-07-31
GBR	Sure (Guernsey) Limited	Sure (Guernsey) Limited	Sure	Sure	900 (GSM)	234	55		894455	2013-07-31
GBR	Sure (Isle of Man) Limited	Sure (Isle of Man) Limited	Sure	Sure	900 (GSM)	234	55		894455	2013-07-31
GBR	Sure (Isle of Man) Limited	Sure (Isle of Man) Limited	Sure	Sure	2100 (3G)	234	55		894455	2013-07-31
GBR	Sure (Isle of Man) Limited	Sure (Isle of Man) Limited	Sure	Sure	1800 (GSM)	234	55		894455	2013-07-31
GBR	Sure (Jersey) Limited	Sure (Jersey) Limited	Sure	Sure	2100 (3G)	234	55		894455	2013-07-31
GBR	Sure (Jersey) Limited	Sure (Jersey) Limited	Sure	Sure	1800 (GSM)	234	55		894455	2013-07-31
GBR	Sure (Jersey) Limited	Sure (Jersey) Limited	Sure	Sure	900 (GSM)	234	55		894455	2013-07-31
GBR	TeleWare PLC	PMN	PMN UK	PMN	1800 (GSM)	234	19		89	2011-11-16
GBR	Telef?nica UK Limited	O2 (UK)	O2 - UK	O2 - UK	900 (GSM)	234	10	2	894411	2013-05-01
GBR	Telef?nica UK Limited	O2 (UK)	O2 - UK	O2 - UK	1800 (GSM)	234	10	2	894411	2013-05-01
GBR	Telef?nica UK Limited	O2 (UK)	O2 - UK	O2 - UK	2100 (3G)	234	10		894411	2013-05-01
GBR	VODAFONE Ltd	vodafone	vodafone UK	voda UK	900 (GSM)	234	15	6	894410	2013-04-09
GBR	VODAFONE Ltd	vodafone	vodafone UK	voda UK	1800 (GSM)	234	15	6	894410	2013-04-09
GEO	Geocell Ltd	GEOCELL	GEO-GEOCELL	GCELL	1800 (GSM)	282	01	5	8999501	2012-07-05
GEO	Geocell Ltd	GEOCELL	GEO-GEOCELL	GCELL	900 (GSM)	282	01	5	8999501	2012-07-05
GEO	Magticom Ltd	Magticom LTD	MAGTI-GSM-GEO	MAGTI	1800 (GSM)	282	02	2	8999597	2012-07-05
GEO	Magticom Ltd	Magticom LTD	MAGTI-GSM-GEO	MAGTI	900 (GSM)	282	02	2	8999597	2012-07-05
GEO	Mobitel LLC	Mobitel	BEELINE GE	BEELINE	1800 (GSM)	282	04		8999504	2006-11-22
GHA	Airtel Ghana Limited	Airtel	Airtel	Airtel	900 (GSM)	620	06		8923306	2014-08-13
GHA	Airtel Ghana Limited	Airtel	Airtel	Airtel	1800 (GSM)	620	06		8923306	2014-08-13
GHA	Ghana Telecommunications Company Ltd	Vodafone Ghana	GH Vodafone	Vodafone	900 (GSM)	620	02	"0,2"	8923302	2012-07-05
GHA	Scancom Ltd	MTN	GH MTN	MTN	900 (GSM)	620	01		8923301	2007-05-10
GIB	CTS Gibraltar Ltd	CTS Mobile	CTS	CTS	2100 (3G)	266	06		8926606	2009-07-16
GIB	Eazi Telecom Limited	Eazi Telecom Limited	Shine	Shine	2100 (3G)	266	09		8935009	2012-07-12
GIB	Eazi Telecom Limited	Shine	Shine	Shine	1800 (GSM)	266	09		8935009	2012-05-25
GIB	Gibtelecom Limited	GIBTEL	GIBTEL GSM	GIBTEL	900 (GSM)	266	01	3	8935001	2012-07-05
GIN	Areeba Guinea	MTN	GNMTN	GNAreeba	900 (GSM)	611	04	"1,2"	8922404	2012-08-01
GIN	Areeba Guinea	MTN	GNMTN	GNAreeba	1800 (GSM)	611	04	"1,2"	8922404	2012-08-01
GIN	Orange Guinee SA	Orange Guinee	Orange GN	ORANGEGN	900 (GSM)	611	01		8922401	2007-06-26
GIN	Orange Guinee SA	Orange Guinee	Orange GN	ORANGEGN	1800 (GSM)	611	01		8922401	2007-06-26
GIN	Sotelgui sa	LAGUI	GN LAGUI	LAGUI	900 (GSM)	611	02	0	8922402	2012-07-05
GLP	Dauphin Telecom	DAUPHIN	DAUPHIN	DAUPHIN	1800 (GSM)	340	08	3	893400810+8	2009-04-22
GLP	Dauphin Telecom	DAUPHIN	DAUPHIN	DAUPHIN	900 (GSM)	340	08	3	893400810+8	2009-04-22
GLP	Digicel Antilles Fran?aise Guyane	Digicel	Digicel	DigicelF	2100 (3G)	340	20		8959620	2014-12-03
GLP	Digicel Antilles Fran?aise Guyane	Digicel	Digicel	DigicelF	900 (GSM)	340	20	"4,5"	8959620	2014-12-03
GMB	Africell (Gambia) Ltd	AFRICELL	AFRICELL	AFRICELL	900 (GSM)	607	02			2012-08-09
GMB	Africell (Gambia) Ltd	AFRICELL	AFRICELL	AFRICELL	1800 (GSM)	607	02			2012-08-09
GMB	Comium Gambia Ltd	Comium Gambia	GM COMIUM	GMCOMIUM	900 (GSM)	607	03		8922003	2006-11-22
GMB	Comium Gambia Ltd	Comium Gambia	GM COMIUM	GMCOMIUM	1800 (GSM)	607	03		8922003	2006-11-22
GMB	Gambia Telecommunications Cellular Company Ltd (Gamcell)	GAMCELL	GAMCEL	GAMCEL	900 (GSM)	607	01		8922001	2001-09-18
GMB	QCELL Limited	Qcell	Qcell	QC	900 (GSM)	607	04		8922004	2012-10-19
GMB	QCELL Limited	Qcell	Qcell	QC	2100 (3G)	607	04		8922004	2012-10-19
GNB	Spacetel Guinee-Bissau SA	MTN	MTN	MTN	900 (GSM)	632	02	"1,2,3"	8924502	2012-07-05
GNB	Spacetel Guinee-Bissau SA	MTN	MTN	MTN	1800 (GSM)	632	02	"1,2,3"	8924502	2012-07-05
GNQ	GETESA	Orange GQ	GNQ01	GETESA	900 (GSM)	627	01			2002-10-22
GNQ	Green Com S.A.	Green Com	GNQ-Muni	Muni-GQ	900 (GSM)	627	03	7	8924003	2014-03-20
GNQ	Green Com S.A.	Green Com	GNQ-Muni	Muni-GQ	1800 (GSM)	627	03	7	8924003	2014-03-20
GRC	COSMOTE - Mobile Telecommunications S.A.	COSMOTE	GR COSMOTE	C-OTE	900 (GSM)	202	01	7	893001	2012-07-05
GRC	COSMOTE - Mobile Telecommunications S.A.	COSMOTE	GR COSMOTE	C-OTE	1800 (GSM)	202	01	7	893001	2012-07-05
GRC	Vodafone-Panafon	vodafone	vodafone GR	voda GR	900 (GSM)	202	05	0	8930050	2013-04-09
GRC	Wind Hellas Telecommunications S.A.	WIND	WIND GR	WIND	900 (GSM)	202	10	4	"893010, 893009"	2012-12-17
GRC	Wind Hellas Telecommunications S.A.	WIND	WIND GR	WIND	1800 (GSM)	202	09	4	"893010, 893009"	2012-12-17
GRC	Wind Hellas Telecommunications S.A.	WIND	WIND GR	WIND	2100 (3G)	202	09		"893010, 893009"	2012-12-17
GRC	Wind Hellas Telecommunications S.A.	WIND	WIND GR	WIND	2100 (3G)	202	10		"893010, 893009"	2012-12-17
GRC	Wind Hellas Telecommunications S.A.	WIND	WIND GR	WIND	1800 (GSM)	202	10	4	"893010, 893009"	2012-12-17
GRC	Wind Hellas Telecommunications S.A.	WIND	WIND GR	WIND	900 (GSM)	202	09	4	"893010, 893009"	2012-12-17
GRD	Cable & Wireless Grenada Ltd	LIME	LIME	LIME	850 (GSM)	352	110	7	8901017	2012-05-18
GRD	Digicel Grenada Ltd.	Digicel	DIGICEL	DIGICEL	900 (GSM)	352	030	0	8901050	2004-11-05
GRD	Digicel Grenada Ltd.	Digicel	DIGICEL	DIGICEL	1800 (GSM)	352	030	0	8901050	2004-11-05
GRL	TELE Greenland  A/S	TELE Greenland	TELE Greenland	TELE GRL	900 (GSM)	290	01	"0,1"	8929901	2012-07-05
GTM	COMCEL-Communicaciones Celulares Sociedad Anonima	COMCEL GUATEMALA	Comcel_GSM	COMCEL	850 (GSM)	704	02	1		2013-05-16
GTM	"Telecomunicaciones de Guatemala, S.A. (TELGUA)"	CLARO	CLARO GTM	CLAROGTM	900 (GSM)	704	01		8950201	2014-04-17
GTM	"Telecomunicaciones de Guatemala, S.A. (TELGUA)"	CLARO	CLARO GTM	CLAROGTM	1900 (GSM)	704	01		8950201	2014-04-17
GTM	"Telecomunicaciones de Guatemala, S.A. (TELGUA)"	CLARO	CLARO GTM	CLAROGTM	1900 (3G)	704	01		8950201	2014-04-17
GTM	"Telefonica Moviles Guatemala, SA"	Telefonica	Movistar	Movistar	1900 (GSM)	704	03	4	8950203	2013-02-20
GUF	Outremer Telecom	Outremer	ONLY	ONLY	900 (GSM)	340	02	"0,1"	"8959402, 8959602, 8959002"	2012-07-05
GUF	Outremer Telecom	Outremer	ONLY	ONLY	1800 (GSM)	340	02	"0,1"	"8959402, 8959602, 8959002"	2012-07-05
GUM	"Docomo Pacific, Inc."	DOCOMO PACIFIC INC	USA DOCOMO PACIFIC	DOCOMOPA	1900 (3G)	310	370		 891377	2014-10-07
GUM	"Docomo Pacific, Inc."	DOCOMO PACIFIC INC	USA DOCOMO PACIFIC	DOCOMOPA	850 (3G)	310	370		 891377	2014-10-07
GUM	"Docomo Pacific, Inc."	DOCOMO PACIFIC INC	USA DOCOMO PACIFIC	DOCOMOPA	1900 (GSM)	310	370		 891377	2014-10-07
GUM	"Docomo Pacific, Inc."	DOCOMO PACIFIC INC	USA DOCOMO PACIFIC	DOCOMOPA	700 (LTE)	310	370		 891377	2014-10-07
GUM	Pulse Mobile LLC	Pulse Mobile LLC	GTA	GTA	1900 (GSM)	310	140	1	8901000	2014-05-21
GUM	Pulse Mobile LLC	Pulse Mobile LLC	GTA	GTA	850 (GSM)	310	140	1	8901000	2014-05-21
GUM	Pulse Mobile LLC	Pulse Mobile LLC	GTA	GTA	850 (3G)	310	140		8901000	2014-05-21
GUM	"Wave Runner, LLC"	i CAN_GSM	USA_iCAN	iCAN_GSM	1900 (GSM)	310	400	"0,3"	8901008	2014-08-13
GUY	Guyana Telephone and Telegraph Company	Cellink Plus	GUY CLNK PLS	CLNKPLS	1800 (GSM)	738	002	"0,0,2"	8959200	2014-06-09
GUY	Guyana Telephone and Telegraph Company	Cellink Plus	GUY CLNK PLS	CLNKPLS	900 (GSM)	738	002	"0,0,2"	8959200	2014-06-09
GUY	U-Mobile (Cellular) Inc.	Digicel Guyana	DIGICEL	DIGICEL	900 (GSM)	738	01	"0,1"	8975801	2012-07-05
HKG	CHINA MOBILE HONG KONG COMPANY LIMITED	China Mobile HK	China Mobile HK	CMHK	1800 (GSM)	454	12	"0,1,4"	"8985212, 8985213"	2013-01-22
HKG	CHINA MOBILE HONG KONG COMPANY LIMITED	China Mobile HK	China Mobile HK	CMHK	1800 (GSM)	454	13	"0,1,4"	"8985212, 8985213"	2013-01-22
HKG	CSL Limited	CSL	CSL	CSL	1800 (GSM)	454	02	"1,4"	8985200	2012-07-05
HKG	CSL Limited	CSL	CSL	CSL	900 (GSM)	454	18	"1,4"	8985200	2012-07-05
HKG	CSL Limited	CSL	CSL	CSL	1800 (GSM)	454	10	"1,4"	8985210	2012-07-05
HKG	CSL Limited	CSL	CSL	CSL	1800 (GSM)	454	18	"1,4"	8985200	2012-07-05
HKG	CSL Limited	CSL	CSL	CSL	900 (GSM)	454	00	"1,4"	8985200	2012-07-05
HKG	CSL Limited	CSL	CSL	CSL	1800 (GSM)	454	00	"1,4"	8985200	2012-07-05
HKG	CSL Limited	CSL	CSL	CSL	900 (GSM)	454	02	"1,4"	8985200	2012-07-05
HKG	Hong Kong Telecommunications (HKT) Limited	HKT	PCCW-HKT	PCCW-HKT	2100 (3G)	454	20		"8985216, 8985219"	2013-02-22
HKG	Hong Kong Telecommunications (HKT) Limited	HKT	PCCW-HKT	PCCW-HKT	1800 (GSM)	454	16		"8985216, 8985219"	2013-02-22
HKG	Hong Kong Telecommunications (HKT) Limited	HKT	PCCW-HKT	PCCW-HKT	2100 (3G)	454	16		"8985216, 8985219"	2013-02-22
HKG	Hong Kong Telecommunications (HKT) Limited	HKT	PCCW-HKT	PCCW-HKT	2600 (LTE)	454	16		"8985216, 8985219"	2013-02-20
HKG	Hong Kong Telecommunications (HKT) Limited	HKT	PCCW-HKT	PCCW-HKT	1800 (LTE)	454	16		"8985216, 8985219"	2013-02-20
HKG	Hong Kong Telecommunications (HKT) Limited	HKT	PCCW-HKT	PCCW-HKT	1800 (LTE)	454	19		"8985216, 8985219"	2013-02-20
HKG	Hong Kong Telecommunications (HKT) Limited	HKT	PCCW-HKT	PCCW-HKT	2600 (LTE)	454	19		"8985216, 8985219"	2013-02-20
HKG	Hong Kong Telecommunications (HKT) Limited	HKT	PCCW-HKT	PCCW-HKT	2600 (LTE)	454	20		"8985216, 8985219"	2013-02-20
HKG	Hong Kong Telecommunications (HKT) Limited	HKT	PCCW-HKT	PCCW-HKT	1800 (LTE)	454	20		"8985216, 8985219"	2013-02-20
HKG	Hong Kong Telecommunications (HKT) Limited	HKT	PCCW-HKT	PCCW-HKT	1800 (GSM)	454	19		"8985216, 8985219"	2013-02-22
HKG	Hong Kong Telecommunications (HKT) Limited	HKT	PCCW-HKT	PCCW-HKT	2100 (3G)	454	19		"8985216, 8985219"	2013-02-22
HKG	Hong Kong Telecommunications (HKT) Limited	HKT	PCCW-HKT	PCCW-HKT	1800 (GSM)	454	20		"8985216, 8985219"	2013-02-22
HKG	Hutchison Telecom (HK) Ltd	3	3(2G)	3(2G)	1800 (GSM)	454	04	"0,1,4"	8985204	2012-12-19
HKG	Hutchison Telecom (HK) Ltd	3	3	3	900 (3G)	454	03		8985203	2012-12-19
HKG	Hutchison Telecom (HK) Ltd	3	3	3	2100 (3G)	454	03		8985203	2012-12-19
HKG	Hutchison Telecom (HK) Ltd	3	3(2G)	3(2G)	900 (GSM)	454	04	"0,1,4"	8985204	2012-12-19
HKG	SmarTone Mobile Communications Limited	SmarTone HK	SmarTone HK	SMC HK	1800 (GSM)	454	15	"0,1,4"	8985206	2012-07-05
HKG	SmarTone Mobile Communications Limited	SmarTone HK	SmarTone HK	SMC HK	2100 (3G)	454	17		8985215	2011-11-16
HKG	SmarTone Mobile Communications Limited	SmarTone HK	SmarTone HK	SMC HK	1800 (GSM)	454	17	"0,1,4"	8985206	2012-07-05
HKG	SmarTone Mobile Communications Limited	SmarTone HK	SmarTone HK	SMC HK	900 (GSM)	454	15	"0,1,4"	8985206	2012-07-05
HKG	SmarTone Mobile Communications Limited	SmarTone HK	SmarTone HK	SMC HK	2100 (3G)	454	06		8985215	2011-11-16
HKG	SmarTone Mobile Communications Limited	SmarTone HK	SmarTone HK	SMC HK	2100 (3G)	454	15		8985215	2011-11-16
